baseline,seed=357,order=B-C,"SADD saddkey:__rand_int__ member","320000.00","2.485","0.520","1.799","3.351","26.431","35.135"
candidate,seed=357,order=B-C,"SADD saddkey:__rand_int__ member","329489.28","2.397","0.392","1.655","3.687","23.855","36.479"
candidate,seed=457,order=C-B,"SADD saddkey:__rand_int__ member","349650.34","2.269","0.704","1.695","2.719","19.407","36.735"
baseline,seed=457,order=C-B,"SADD saddkey:__rand_int__ member","307692.31","2.576","0.464","1.863","3.535","24.991","33.791"
baseline,seed=358,order=B-C,"SADD saddkey:__rand_int__ member","310559.00","2.561","1.264","1.831","3.367","27.055","35.135"
candidate,seed=358,order=B-C,"SADD saddkey:__rand_int__ member","313479.62","2.519","0.656","1.775","3.479","26.559","33.279"
candidate,seed=458,order=C-B,"SADD saddkey:__rand_int__ member","327332.25","2.428","0.824","1.743","3.119","25.055","35.871"
baseline,seed=458,order=C-B,"SADD saddkey:__rand_int__ member","322580.66","2.461","0.744","1.751","3.167","23.887","40.415"
baseline,seed=359,order=B-C,"SADD saddkey:__rand_int__ member","349040.12","2.261","0.856","1.695","2.791","19.455","36.287"
candidate,seed=359,order=B-C,"SADD saddkey:__rand_int__ member","313971.72","2.530","1.056","1.807","3.295","25.887","38.879"
candidate,seed=459,order=C-B,"SADD saddkey:__rand_int__ member","364963.53","2.172","0.480","1.607","2.615","25.471","33.151"
baseline,seed=459,order=C-B,"SADD saddkey:__rand_int__ member","361663.66","2.193","0.536","1.703","2.223","18.607","48.735"
baseline,seed=360,order=B-C,"SADD saddkey:__rand_int__ member","335008.38","2.373","0.720","1.679","3.047","24.655","33.983"
candidate,seed=360,order=B-C,"SADD saddkey:__rand_int__ member","360360.34","2.195","0.416","1.623","2.367","21.167","33.599"
candidate,seed=460,order=C-B,"SADD saddkey:__rand_int__ member","359712.22","2.202","0.864","1.647","2.655","24.719","33.791"
baseline,seed=460,order=C-B,"SADD saddkey:__rand_int__ member","309119.00","2.574","0.584","1.887","3.247","26.255","34.655"
